2.0737 5.4100 8.7873 
2.9880 5.6156 2.7570 
7.4588 6.8386 5.9736 
6.0580 1.9262 6.1270 
4.2907 7.3252 1.9952 
4.9741 9.0598 1.0709 
7.6924 8.2885 6.4462 
5.5108 4.7150 9.4734 
2.2195 4.3562 5.4054 
5.8988 5.5724 4.9756 
5.2877 0.9061 8.6854 
4.7287 3.2472 5.2196 
5.6361 5.3777 2.6532 
4.5899 4.1176 0.7359 
1.1415 2.3131 6.8613 
7.7413 2.3695 8.3116 
0.7030 1.3603 4.4820 
4.0548 0.0398 6.2475 
3.3246 0.4350 5.1604 
1.8724 3.3110 8.7671 
0.7182 0.3830 7.0657 
8.8118 2.7124 4.0598 
5.0538 9.8095 4.5969 
1.3713 0.3536 9.9780 
8.4720 1.1313 2.8068 
2.4653 1.3898 2.9078 
8.0515 1.7643 5.0782 
4.3142 3.2561 2.0616 
8.8175 1.1256 3.4073 
7.4155 1.4946 5.5076 
6.1466 4.4710 3.3744 
3.1775 6.5557 6.7894 
3.6016 3.9459 7.4264 
2.8356 6.7112 6.8527 
4.9181 9.2978 1.3631 
3.2884 7.0054 0.5039 
6.8020 1.7190 5.2126 
8.7822 6.3107 6.3455 
1.1839 6.3604 4.4467 
7.3450 6.4750 1.9470 
8.1862 2.4560 6.4099 
8.6014 6.8504 6.2313 
8.9788 9.7319 2.8399 
3.4347 7.1886 2.1223 
7.4684 8.7310 5.6948 
8.2672 5.8674 2.4321 
6.0134 1.9033 6.5099 
3.2433 4.8805 2.1789 
8.5671 6.5456 1.2424 
5.9001 9.9456 4.1893 
5.7727 9.6847 2.2954 
9.6393 2.5737 5.9223 
6.7284 9.9443 9.3074 
6.8822 0.4696 3.2596 
1.8391 4.8975 4.4053 
6.8992 2.7295 8.5947 
1.9982 3.0275 3.2888 
6.2922 0.1934 0.8897 
2.6027 9.3023 6.9540 
9.4588 0.2651 8.1053 
8.2899 5.0499 4.5659 
7.9248 2.7911 8.8664 
6.5141 9.4641 6.5106 
2.7108 8.2086 0.5512 
1.3913 1.3827 9.7936 
1.4018 2.9979 4.4916 
6.5125 0.0718 4.3272 
0.3968 6.2142 5.6020 
6.5382 1.3762 3.7556 
3.1960 0.1467 7.1909 
1.8415 9.6728 6.1585 
4.2943 1.3870 6.1899 
7.4111 7.8711 8.2669 
5.9022 7.2115 3.5733 
2.3713 6.7113 9.2169 
7.9380 1.4495 0.1832 
6.3630 4.3839 1.7556 
0.0112 2.2894 0.5256 
8.6120 8.7786 0.7108 
3.4475 2.9832 6.7599 
7.5417 2.0160 5.3500 
5.6614 4.8962 7.3815 
7.3109 5.1125 9.4392 
2.0634 2.3600 1.0258 
0.6427 2.6029 7.5090 
8.4091 5.3886 4.4751 
8.5488 7.0370 3.3947 
8.4983 9.9787 1.9595 
8.0896 4.7404 0.0463 
5.4467 1.0840 6.1210 
9.9590 7.3529 4.2248 
4.4934 3.2369 3.5528 
4.4383 0.3487 4.9847 
2.2934 3.5884 4.0665 
0.3605 4.6836 9.9894 
5.5031 3.9234 8.3007 
5.0045 5.8289 1.5839 
9.0900 9.3465 2.7403 
2.1347 1.5691 4.1740 
0.2415 7.2262 1.0986 
